week,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,oem_chinese_oem_k,oem_us_oem_k,oem_german_oem_k,oem_korean_oem_k,oem_japanese_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_cells_wk,stock_harness_wk,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
0,15.807692307692308,246.0040394456903,15.88571412206233,0.0,1.0,147.60242366741417,31.98052512793974,29.520484733482835,19.680323155655223,17.220282761198323,4.000145964092833,6.000189761283809,4.000145964092833,7.999885701222997,11.999885701222997,4.0002432734880555,2.086280571267009,269.2307692307692,269.2307692307692,269.2307692307692,269.2307692307692,drc_cobalt
1,15.807858990476392,247.22236760571155,15.964268167486757,0.0,0.9999769443156366,148.33342056342693,32.1389077887425,29.666684112685385,19.777789408456925,17.30556573239981,4.0002813853150725,6.000367006294955,4.0002813853150725,7.999783119409718,11.999775689140039,4.0004362951474866,2.1680354064269562,269.2471434078499,269.2296152527322,269.2276150241346,269.2307692307692,drc_cobalt
2,15.808283070196962,248.44902622808397,16.043350819707477,0.0,0.999955474229526,149.06941573685037,32.298373409650914,29.813883147370074,19.87592209824672,17.39143183596588,4.000389983025575,6.000511161879977,4.000389983025575,7.999691053434111,11.999669802981726,4.0006079036866184,2.245233560225936,269.2601352503116,269.2285045538177,269.2247841606336,269.2307692307692,drc_cobalt
3,15.808515114485136,249.6839593947022,16.122944236372298,0.0,0.9999385049660818,149.81037563682133,32.45891472131129,29.962075127364265,19.974716751576178,17.477877157629155,4.000483903678002,6.000637404104169,4.000483903678002,7.999608425299614,11.999567888008201,4.0007513038481655,2.3178442951296025,269.27168582506084,269.2274355108732,269.22224349380673,269.2307692307692,drc_cobalt
4,15.808718324003832,250.92688990352184,16.203040525708033,0.0,0.9999239071216834,150.5561339421131,32.62049568745784,30.111226788422616,20.074151192281747,17.56488229324653,4.000564971103439,6.000747958954793,4.000564971103439,7.999534267516942,11.99946979528301,4.000871721150498,2.385837903328887,269.28133775901114,269.2264065616213,269.2199632750951,269.2307692307692,drc_cobalt
5,15.808896281879091,252.17769540157713,16.283633068477254,0.0,0.9999113790738388,151.30661724094628,32.78310040220503,30.261323448189255,20.17421563212617,17.6524386781104,4.000634782496286,6.00084477580886,4.000634782496286,7.9994677117758,11.99937538145546,4.000973301877573,2.449185131520537,269.28944276974505,269.22541620237655,269.2179168055156,269.2307692307692,drc_cobalt
6,15.809052125983094,253.4362733340408,16.364716364547153,0.0,0.9999006572350522,152.0617640004245,32.946715533425305,30.412352800084896,20.274901866723265,17.740539133382857,4.000694736577052,6.00092956180584,4.000694736577052,7.9994079787778665,11.999284508551119,4.001059354619719,2.507857107362767,269.2962799340674,269.2244629858484,269.2160801230437,269.2307692307692,drc_cobalt
7,15.809188604263232,254.702538557833,16.446285898173105,0.0,0.9998915112697943,152.8215231346998,33.111330012518295,30.56430462693996,20.376203084626642,17.829177699048312,4.000746058255532,6.001003811949097,4.000746058255532,7.999354369112031,11.999197043770192,4.0011325349523545,2.5618252747956656,269.302071945558,269.2235455190257,269.21443172204306,269.2307692307692,drc_cobalt
8,15.809308123195756,255.9764212462795,16.52833801970477,0.0,0.9998837399129712,153.5858527477677,33.27693476201634,30.71717054955354,20.47811369970236,17.918349487239567,4.000789820229235,6.001068835466776,4.000789820229235,7.999306255065013,11.99911285929344,4.001194987027743,2.6110613371451814,269.30699754487,269.22266246114134,269.212952301457,269.2307692307692,drc_cobalt
9,15.809412790218346,257.25786504917545,16.610869841706386,0.0,0.9998771673140521,154.35471902950528,33.44352245639281,30.870943805901053,20.580629203934038,18.008050553442285,4.0008269618979035,6.001125778896995,4.0008269618979035,7.999263073271502,11.9990318320954,4.001248452466492,2.6555372070619483,269.31120104994426,269.22181252171265,269.21162453881334,269.2307692307692,drc_cobalt
