week,focus_region,active_oem_target_k,active_market_gwh_2023,cell_production_gwh,oem_production_k,market_demand_gwh,total_backlog_k,price_signal,raw_price_signal,oem_uk_oem_k,stock_lithium_wk,stock_cobalt_wk,stock_graphite_wk,stock_ree_wk,stock_sic_wafer_wk,stock_copper_wk,stock_cells_wk,stock_packs_wk,stock_inverters_wk,stock_motors_wk,stock_harness_wk,price_lithium,price_cobalt,price_graphite,price_ree,price_sic_wafer,price_copper,price_component_pack,price_component_inverter,price_component_motor,price_component_harness,price_component_vehicle,price_component_sic,price_component_parts,price_component_labour,oem_price_margin_signal,cell_capacity_gwh_yr,cell_cap_util,lfp_share,sd_ev_demand_gwh_yr,sd_oem_backlog_k,bullwhip_index,t1_battery_pack_k,t1_inverter_k,t1_motor_k,t1_harness_k,scenario
0,uk,175,20,0.42307692307692313,3.723478503566304,0.3864456136600355,2.1936812597473057,1.0008904499624725,1.044522498123624,3.723478503566304,4.97323991631392,6.97323991631392,4.97323991631392,8.986248428391816,12.986248428391816,3.986248428391816,4.013015435702817,2.999919927835649,7.9999199278356485,5.9999199278356485,1.9999199278356494,1.0089840541151158,1.0102007263644648,1.0089840541151158,1.0108271137173999,1.0115187512113828,1.007827930087864,1.0008213059563542,1.0029042642720545,1.0032868093532445,1.001362708594475,1.0044522498123625,1.0009215000969107,1.0028005298829459,1.0000227440038572,1.0031209926551583,1464.479819625089,0.015022398878553386,0.40274893636802533,743.6383204541952,2.221838629665012,5.453269854309834,3.701923076923077,3.701923076923077,3.701923076923077,3.701923076923077,sic_bottleneck
1,uk,175,20,0.4251219140344696,3.7451729755948837,0.38647834607768217,4.393825417383738,1.0024572320045957,1.0471733534196253,3.7451729755948837,5.946350484686187,7.94633917654822,5.946350484686187,9.9725291022043,13.97241678461928,4.9724167846192815,4.026080187497575,2.9998393391579796,7.99983933915798,5.99983933915798,1.99983933915798,1.0134003010647912,1.0165852056682436,1.0134003010647912,1.0183801847513274,1.0204799231708406,1.0107495288640087,1.0018478703822808,1.006133137594858,1.006691092648432,1.002750920843304,1.0087243601730886,1.002486173942825,1.0055973433891243,1.000045488525004,1.0058635610193434,1430.9920217030092,0.015448261901197663,0.4025014747549319,674.6227583735368,4.422486362957546,9.486578235091317,3.723478503566304,3.723478503566304,3.723478503566304,3.723478503566304,sic_bottleneck
2,uk,175,20,0.4251975968743614,3.7670058098577037,0.38642566368815373,6.572640316413452,1.0045206779283409,1.0492253746754197,3.7670058098577037,6.919456266035057,8.919422499862009,6.919456266035057,10.95880865180615,14.958504552169076,5.958504552169078,4.039069178212751,2.9997582365047006,7.999758236504699,5.9997582365047,1.9997582365047006,1.014962737621302,1.0199687013982093,1.014962737621302,1.0230974439642961,1.0270247168391797,1.0113251869642923,1.0027287768187605,1.0095135424469592,1.010090620173329,1.004076779715245,1.0127744616233216,1.0044492573745334,1.0083898238117739,1.0000682335634523,1.0084755125398828,1399.4339264177074,0.015799441917250797,0.4022576389398544,612.1381248561524,6.600490763686823,13.143176363016323,3.7451729755948837,3.7451729755948837,3.7451729755948837,3.7451729755948837,sic_bottleneck
3,uk,175,20,0.42517367699629377,3.7889773789705554,0.3863137238747322,8.728673148029877,1.0069344022365716,1.050922840085053,3.7889773789705554,7.892563560342692,9.8924963534703,7.892563560342692,11.945057724407736,15.944511217065592,5.957912263885409,4.051975594149351,2.9996766184916512,7.99967661849165,5.999676618491652,1.9996766184916512,1.0151433266263037,1.021379805624696,1.0151433266263037,1.0256842630844067,1.031513477397693,1.0113934967693659,1.0033158739284787,1.0129132879171214,1.0134047798394157,1.0053292650955603,1.0165892994694947,1.0066143949763862,1.0111776831061465,1.0000909791192139,1.011073482067106,1369.70809909855,0.01614141817395835,0.40201698573254024,555.6468165063427,8.75480144432753,16.461629026281205,3.7670058098577037,3.7670058098577037,3.7670058098577037,3.7670058098577037,sic_bottleneck
4,uk,175,20,0.42507319302272634,3.8110885636703973,0.38616379036012993,10.860872643970744,1.0095819621020288,1.0524183204131274,3.8110885636703973,8.86567721037288,10.865565732703804,8.890942682780361,12.931253899890262,16.877354362625656,5.957702975401268,4.064794077443288,2.9995944818471494,7.99959448184715,5.999594481847149,1.9995944818471496,1.0147534556544233,1.0216345069601807,1.0147488892044483,1.0268070871326835,1.034391921070259,1.0113019380337065,1.003573240092356,1.016240764696702,1.0165879707102483,1.0065112418681872,1.020172201563858,1.008836597063896,1.0139607984410584,1.0001137251923005,1.0137012901877778,1341.7220554061998,0.016474206373905027,0.4017788955922313,504.5607031317097,10.884694270812979,19.476366368053494,3.7889773789705554,3.7889773789705554,3.7889773789705554,3.7889773789705554,sic_bottleneck
5,uk,175,20,0.42491815498993607,3.833340444507614,0.3859927446699323,12.968513589618976,1.0123724778334695,1.0537955935176002,3.833340444507614,9.838800666730252,11.838634215751448,9.843726818847616,13.917381442883304,17.8984112766652,5.95746794774948,4.0775206591196,2.9995118225572637,7.999511822557264,5.999511822557263,1.9995118225572641,1.0141575632763136,1.0212633726816551,1.0141519904769964,1.0269843539490515,1.0359929397243437,1.0111517503704046,1.003515676231448,1.0194337916967042,1.0196197363528363,1.007628903290176,1.0235345407592322,1.0110091044767318,1.016739130233456,1.000136471782724,1.0163684612785366,1315.3880004298067,0.016797890852172006,0.40154274000332824,458.35087131748674,12.989703744304324,22.218161936770944,3.8110885636703973,3.8110885636703973,3.8110885636703973,3.8110885636703973,sic_bottleneck
6,uk,175,20,0.42472772168872025,3.8557341544497663,0.38581373846015926,15.051129353168168,1.015236239262482,1.0551019829522312,3.8557341544497663,10.82767999980255,12.811704141750146,10.836110187685195,14.903429881653786,18.92844976474314,5.957402702139412,4.090152578006135,2.999428636413348,7.999428636413348,5.999428636413348,1.999428636413348,1.0135033754867249,1.0205768847408652,1.013497621965953,1.0265800877693723,1.0366289221676075,1.0109806585278212,1.0031779477367295,1.022454924923546,1.022495875183834,1.008689072103187,1.0266912849785321,1.0130586898920018,1.01951268095897,1.0001592188904957,1.019069514121605,1290.6225898409846,0.017112548394596604,0.40130796138211067,416.55841164321726,15.0695655661647,24.714548394769054,3.833340444507614,3.833340444507614,3.833340444507614,3.833340444507614,sic_bottleneck
7,uk,175,20,0.4245177218958691,3.8782708128459142,0.38563684203028187,17.108454516632396,1.0181207422223115,1.0563659758095059,3.8782708128459142,11.795127075978149,13.784776823273804,11.815381895955063,15.889392475114896,19.926669605443273,5.9569650524257565,4.102688069911871,2.9993449192573443,7.999344919257343,5.999344919257345,1.9993449192573447,1.012848569331738,1.0197463809373086,1.0128428119239823,1.0258349860632978,1.0365740132725252,1.0108047531742275,1.0026007526771419,1.0252863638622924,1.025221810249589,1.009698339640633,1.0296587540616295,1.0149399157624437,1.022281474379695,1.000181966515628,1.021793057077529,1267.3467068572554,0.01741821825010001,0.40107410078678807,378.72062808106455,17.124169246092354,26.990181023116957,3.8557341544497663,3.8557341544497663,3.8557341544497663,3.8557341544497663,sic_bottleneck
8,uk,175,20,0.4243008208382415,3.9009514981306097,0.38546962686972475,19.140377511275354,1.0209872644082036,1.0576047449630586,3.9009514981306097,12.79776175786354,14.68592423798587,12.867192433385156,16.875264969511083,20.925722354676953,5.95697502218022,4.115126167579434,2.9992606670831816,7.99926066708318,5.999260667083181,1.9992606670831814,1.012213736039076,1.0188656489483474,1.01220795467912,1.02490238614169,1.036035243129447,1.010631129327542,1.001823989817911,1.02792388237096,1.0278081229837701,1.0106627664420127,1.0324533531517726,1.016627541951804,1.0250455450112912,1.0002047146581323,1.0245264085980932,1245.4852518407479,0.017714896784991954,0.4008407991582847,371.0044420597226,19.153519699803663,29.06715658958432,3.8782708128459142,3.8782708128459142,3.8782708128459142,3.8782708128459142,sic_bottleneck
9,uk,175,20,0.4240868988241497,3.92377724056908,0.38531766748455853,21.146902222548192,1.02380798966133,1.0588287283723987,3.92377724056908,13.757439467920278,15.659703273110315,13.831011127621212,17.8610447085611,21.966670886281847,5.956844573313922,4.127466524687839,2.999175876063722,7.999175876063721,5.999175876063722,1.999175876063722,1.0116059198800476,1.0179788511933168,1.0116002665135708,1.023877568624274,1.0351605323310828,1.0104630034469548,1.0008838316841284,1.0303719332478594,1.0302677350105784,1.01158780462394,1.0350908906738352,1.0181101811821462,1.027804932739695,1.0002274633180204,1.0272577768301627,1224.9669427240924,0.018002541921511118,0.4006077850556117,371.0036518709197,21.15770657438164,30.965293553072378,3.9009514981306097,3.9009514981306097,3.9009514981306097,3.9009514981306097,sic_bottleneck
10,uk,175,20,0.42388348982931207,3.946749024728609,0.3851849619425674,23.128117312966637,1.0265636473090698,1.0600447629357732,3.946749024728609,14.765115134957327,16.57528349847417,14.826759293735654,18.899054368384,23.02054163825635,5.956521738471771,4.13970926762319,2.999090542541584,7.999090542541584,5.999090542541584,1.9990905425415837,1.0110266901861384,1.0171102135492303,1.0110212576969186,1.0228168562833302,1.0340633117951235,1.0103017796670497,0.9998119205801675,1.0326407010236327,1.0326141522986367,1.0124783047652286,1.0375862779000289,1.0193864316311845,1.0305596800395636,1.000250212495304,1.0299770121265106,1205.7241251825842,0.018281081891586427,0.4003748597263091,371.00296180210137,23.13688004107714,32.70237883758908,3.92377724056908,3.92377724056908,3.92377724056908,3.92377724056908,sic_bottleneck
